name,address,lat,lon,rating,ratings_count,reviews_count,description,rubrics,schedule,category
"Glamping 61, база отдыха","Дошкольник улица, 61",43.256618,76.989286,4.8,59,31,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'comment': 'по предварительной записи', 'is_24x7': True}",глэмпинг
"Heaven Glamping Almaty, база отдыха","СТ Айнабулак территория, 3/5",43.161487,76.961169,4.9,184,93,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Mon': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Sat': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Sun': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Thu': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Tue': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}, 'Wed': {'working_hours': [{'from': '09:30', 'to': '21:30'}]}}",глэмпинг
"Menin house, база отдыха","улица Сагадат Нурмагамбетов, 352а",43.246026,76.980795,4.8,31,22,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '21:00'}]}}",глэмпинг
"Marmani Lake, база отдыха","Алматы-Бишкек трасса, 27/4",43.229125,76.652009,4.7,59,26,,"Базы отдыха, Бани и сауны","{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Almaty Rancho, база отдыха","улица Бишкекская, 91",43.219744,77.005335,4.8,41,21,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '24:00'}]}}",глэмпинг
"Ямайка, база отдыха","улица Ботагоз, 28",43.87019,77.086609,4.4,774,424,,"Базы отдыха, Бани и сауны, Пляжи","{'Fri': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '02:00'}]}}",глэмпинг
"Пик Талгар, эко-деревня","Ершова улица, 22а",43.317982,77.282207,4.8,256,134,,"Базы отдыха, Бани и сауны","{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Glamping_Keremet, база отдыха","улица Жанакурлыс, 71/1",43.201067,76.339563,4.9,161,70,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
Top Hill Resort,"улица Толе би, 47",43.213901,77.103803,4.8,61,22,,"Базы отдыха, Бани и сауны","{'Fri': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '11:00', 'to': '21:00'}]}}",глэмпинг
"Bai Tau Glamping, база отдыха","улица Акбокен, 501/2",43.136154,76.862719,4.7,108,50,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '23:00'}]}}",глэмпинг
